,text,words,label
0,@noticiasfides @ArturoMurilloS   Y las negociaciones con todos los sectores. #GolpeDeEstadoBolivia,"['@noticiasfides', '@arturomurillos', 'y', 'las', 'negociaciones', 'con', 'todos', 'los', 'sectores', '#golpedeestadobolivia']",0
1,@Silvia6566 Buen día kumpa.. ❤💚💜✌💪 VAMOS CFK❤❤❤❤❤ #CuidemosNuestraDemocracia #GolpeDeEstadoBolivia #ChileSomosTodos,"['@silvia6566', 'buen', 'día', 'kumpa', '❤💚💜✌💪', 'vamos', 'cfk❤❤❤❤❤', '#cuidemosnuestrademocracia', '#golpedeestadobolivia', '#chilesomostodos']",0
2,"@evoespueblo @evoespueblo lo que no te perdonan los golpistas oligarquía rancia y Fascista es que eres un hombre demasiado Honesto y Digno que puedes verle los ojos directo a tu Pueblo iVolveras Hecho Millones! 
#JovenesDelMundoConVenezuela y Bolivia #GolpeDeEstadoBolivia https://t.co/Uf2cqiXFvy","['@evoespueblo', '@evoespueblo', 'lo', 'que', 'no', 'te', 'perdonan', 'los', 'golpistas', 'oligarquía', 'rancia', 'y', 'fascista', 'es', 'que', 'eres', 'un', 'hombre', 'demasiado', 'honesto', 'y', 'digno', 'que', 'puedes', 'verle', 'los', 'ojos', 'directo', 'a', 'tu', 'pueblo', 'ivolveras', 'hecho', 'millones', '#jovenesdelmundoconvenezuela', 'y', 'bolivia', '#golpedeestadobolivia', 'https//tco/uf2cqixfvy']",0
3,"#Chile

La @FundVictorJara emite  #DeclaracionPublica respecto al uso indebido de la obra: El Derecho de Vivir en Paz de #VictorJara 

#GolpeDeEstadoBolivia 
#BoliviaSeRespeta
#ElDerechoDeVivirEnPaz https://t.co/fgKDl7s0hh","['#chile', 'la', '@fundvictorjara', 'emite', '#declaracionpublica', 'respecto', 'al', 'uso', 'indebido', 'de', 'la', 'obra', 'el', 'derecho', 'de', 'vivir', 'en', 'paz', 'de', '#victorjara', '#golpedeestadobolivia', '#boliviaserespeta', '#elderechodevivirenpaz', 'https//tco/fgkdl7s0hh']",0
4,"Asesinos de maestros era lo que quería el imperialismo para #Cuba, son los del #PlanCondor, los que masacran al pueblo en #ColombiaConP, #Chile, los del #GolpeDeEstadoBolivia etc. #TenemosMemoria #FidelPorSiempre https://t.co/AhNv9JNsF2","['asesinos', 'de', 'maestros', 'era', 'lo', 'que', 'quería', 'el', 'imperialismo', 'para', '#cuba', 'son', 'los', 'del', '#plancondor', 'los', 'que', 'masacran', 'al', 'pueblo', 'en', '#colombiaconp', '#chile', 'los', 'del', '#golpedeestadobolivia', 'etc', '#tenemosmemoria', '#fidelporsiempre', 'https//tco/ahnv9jnsf2']",0
5,"Tenemos la obligación de defender nuestro recurso Naturales 
#GolpeDeEstadoBolivia https://t.co/OLZfwbfXQv","['tenemos', 'la', 'obligación', 'de', 'defender', 'nuestro', 'recurso', 'naturales', '#golpedeestadobolivia', 'https//tco/olzfwbfxqv']",0
6,"Estoy alucinando con la ""eficacia"" de la fiscalía, ¿tienen pruebas?. Se me olvida queremos un proceso de diálogo y paz  pero por detrás hacemos casería da igual, la cuestión es venganza  #GolpeDeEstadoBolivia https://t.co/JBmNZQhOtK","['estoy', 'alucinando', 'con', 'la', 'eficacia', 'de', 'la', 'fiscalía', 'tienen', 'pruebas', 'se', 'me', 'olvida', 'queremos', 'un', 'proceso', 'de', 'diálogo', 'y', 'paz', 'pero', 'por', 'detrás', 'hacemos', 'casería', 'da', 'igual', 'la', 'cuestión', 'es', 'venganza', '#golpedeestadobolivia', 'https//tco/jbmnzqhotk']",0
7,"En #Chile se VIOLAN los #DerechosHumanos con el #TerrorismoDeEstado y
#ChileEnDictadura de #Piñera
#Tarapacá #Iquique #AltoHospicio #Suecia #Francia #Canada #Noruega #BoliviaEnDictadura #MasacreEnBolivia #GolpeDeEstadoBolivia https://t.co/nTEI2knYlW","['en', '#chile', 'se', 'violan', 'los', '#derechoshumanos', 'con', 'el', '#terrorismodeestado', 'y', '#chileendictadura', 'de', '#piñera', '#tarapacá', '#iquique', '#altohospicio', '#suecia', '#francia', '#canada', '#noruega', '#boliviaendictadura', '#masacreenbolivia', '#golpedeestadobolivia', 'https//tco/ntei2knylw']",0
8,"Impugnación de elecciones legítimas. Injerencia de la OEA. Amotinamiento policial y grupos de grupos de choque. Renuncia forzosa del presidente. Militarización, represión, toque de queda. Y ahora autoproclamación anti-constitucional. ¿Alguna duda de que fue #GolpeDeEstadoBolivia? https://t.co/Q2gGy95fVa","['impugnación', 'de', 'elecciones', 'legítimas', 'injerencia', 'de', 'la', 'oea', 'amotinamiento', 'policial', 'y', 'grupos', 'de', 'grupos', 'de', 'choque', 'renuncia', 'forzosa', 'del', 'presidente', 'militarización', 'represión', 'toque', 'de', 'queda', 'y', 'ahora', 'autoproclamación', 'anticonstitucional', 'alguna', 'duda', 'de', 'que', 'fue', '#golpedeestadobolivia', 'https//tco/q2ggy95fva']",0
9,"""Según dijo a la AFP Alexander Main...de CEPR...en los hechos no hubo un cambio drástico de tendencia y el resultado favorable a Morales 'es totalmente explicable', si se observa de dónde provenían los últimos votos"". #GolpeDeEstadoBolivia #Bolivia https://t.co/f0oPsAXPAf","['según', 'dijo', 'a', 'la', 'afp', 'alexander', 'mainde', 'cepren', 'los', 'hechos', 'no', 'hubo', 'un', 'cambio', 'drástico', 'de', 'tendencia', 'y', 'el', 'resultado', 'favorable', 'a', 'morales', ""'es"", 'totalmente', ""explicable'"", 'si', 'se', 'observa', 'de', 'dónde', 'provenían', 'los', 'últimos', 'votos', '#golpedeestadobolivia', '#bolivia', 'https//tco/f0opsaxpaf']",0
